Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2026/04/10 13:11:26,-,"1,300",-,-,-,JP,Money Received,"Đồ rẻ tại Nhật ",PayPay Balance,-,-,02242226207691579394
2026/04/10 12:55:26,"4,680",-,-,-,-,-,Payment,水戸屋 - 水戸屋,PayPay Balance,-,-,04953366240710303754
2026/04/10 09:47:40,497,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04953269475097124867
2026/04/10 09:47:40,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02242121195742027777
2026/04/07 01:50:29,-,"46,180",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02239648746278027264
2026/04/07 01:50:29,"47,537",-,-,-,-,-,Payment,IKEAオンラインストア,PayPay Balance,-,-,04950797017042042883
2026/04/06 16:34:49,140,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026040616344900149444
2026/04/06 12:29:56,415,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04950384425303867395
2026/04/06 12:29:56,-,4,-,-,-,-,"Points, Balance Earned",デイリーヤマザキ,PayPay Point,-,-,04950384425303867395
2026/04/06 10:54:35,120,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026040610543500843312
2026/04/06 09:49:03,423,-,-,-,-,-,Payment,ファミリーマート - 品川グランパサージュ,PayPay Balance,-,-,04950301498075103236
2026/04/06 09:49:02,-,4,-,-,-,-,"Points, Balance Earned",ファミリーマート,PayPay Point,-,-,04950301498075103236
2026/04/05 18:24:45,333,-,-,-,-,-,Payment,セリア - セリア2232キテミテマツド店,PayPay Balance,-,-,04949825126073114627
2026/04/05 18:24:45,-,2,-,-,-,-,"Points, Balance Earned",セリア,PayPay Point,-,-,04949825126073114627
2026/04/05 00:07:32,281,-,-,-,-,-,Payment,セブン-イレブン - 北松戸駅西口,PayPay Balance,-,-,04949259624908718081
2026/04/05 00:07:32,-,2,-,-,-,-,"Points, Balance Earned",セブン-イレブン,PayPay Point,-,-,04949259624908718081
2026/04/04 22:22:05,600,-,-,-,-,-,Payment,GiGO - GiGO秋葉原3号館,PayPay Balance,-,-,04949205267802390531
2026/04/04 22:22:04,-,6,-,-,-,-,"Points, Balance Earned",GiGO,PayPay Point,-,-,04949205267802390531
2026/04/04 22:21:17,200,-,-,-,-,-,Payment,GiGO - GiGO秋葉原3号館,PayPay Balance,-,-,04949204855486169092
2026/04/04 22:21:16,-,2,-,-,-,-,"Points, Balance Earned",GiGO,PayPay Point,-,-,04949204855486169092
2026/04/04 22:20:42,-,2,-,-,-,-,"Points, Balance Earned",GiGO,PayPay Point,-,-,04949204554838196230
2026/04/04 22:20:42,200,-,-,-,-,-,Payment,GiGO - GiGO秋葉原3号館,PayPay Balance,-,-,04949204554838196230
2026/04/04 22:18:49,-,6,-,-,-,-,"Points, Balance Earned",GiGO,PayPay Point,-,-,04949203584175136768
2026/04/04 22:18:49,600,-,-,-,-,-,Payment,GiGO - GiGO秋葉原3号館,PayPay Balance,-,-,04949203584175136768
2026/04/04 22:16:19,600,-,-,-,-,-,Payment,GiGO - GiGO秋葉原3号館,PayPay Balance,-,-,04949202295685341186
2026/04/04 22:16:18,-,6,-,-,-,-,"Points, Balance Earned",GiGO,PayPay Point,-,-,04949202295685341186
2026/04/04 22:14:33,600,-,-,-,-,-,Payment,GiGO - GiGO秋葉原3号館,PayPay Balance,-,-,04949201393742372864
2026/04/04 22:14:33,-,6,-,-,-,-,"Points, Balance Earned",GiGO,PayPay Point,-,-,04949201393742372864
2026/04/04 22:13:00,600,-,-,-,-,-,Payment,GiGO - GiGO秋葉原3号館,PayPay Balance,-,-,04949200594877825024
2026/04/04 22:13:00,-,6,-,-,-,-,"Points, Balance Earned",GiGO,PayPay Point,-,-,04949200594877825024
2026/04/04 17:52:21,"3,000",-,-,-,-,-,Payment,モバイルＰＡＳＭＯチャージ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026040417522100230545
2026/04/04 16:57:27,-,12,-,-,-,-,"Points, Balance Earned",Hi!EVERYVALLEY,PayPay Point,-,-,04949037953056817159
2026/04/04 16:57:27,"1,370",-,-,-,-,-,Payment,Hi!EVERYVALLEY - マリオンクレープ（HEV店）,PayPay Balance,-,-,04949037953056817159
2026/04/04 15:02:59,-,33,-,-,-,-,"Points, Balance Earned",ＭＶエクスプレス新松戸,PayPay Point,-,-,PPCD_A_2026032817521900124294
2026/04/03 22:07:06,-,14,-,-,-,-,"Points, Balance Earned",Vietcook,PayPay Point,-,-,04948455375102615553
2026/04/03 22:07:06,"1,419",-,-,-,-,-,Payment,Vietcook - KATSUTADAI,PayPay Balance,-,-,04948455375102615553
2026/04/03 21:58:03,"2,180",-,-,-,-,-,Money Sent,Nhài Nhanh Nhẩu,PayPay Balance,-,-,02237302431414157326
2026/04/03 21:58:00,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02237302414234091527
2026/04/03 21:31:29,-,22,-,-,-,-,"Points, Balance Earned",すき家,PayPay Point,-,-,04948437018412638210
2026/04/03 21:31:29,"2,320",-,-,-,-,-,Payment,すき家 - 松戸駅西口店,PayPay Balance,-,-,04948437018412638210
2026/04/03 20:23:05,"1,740",-,-,-,-,-,Payment,イトーヨーカドー　専門店 - イトーヨーカドー松戸店　専門店,PayPay Balance,-,-,04948401773911220224
2026/04/03 20:23:05,-,16,-,-,-,-,"Points, Balance Earned",イトーヨーカドー　専門店,PayPay Point,-,-,04948401773911220224
2026/04/03 13:17:30,"1,250",-,-,-,-,-,Money Sent,Thao,PayPay Balance,-,-,02237034150576381962
2026/04/03 12:23:30,649,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04948154598542991366
2026/04/03 12:23:30,-,6,-,-,-,-,"Points, Balance Earned",デイリーヤマザキ,PayPay Point,-,-,04948154598542991366
2026/04/03 09:41:34,620,-,-,-,-,-,Payment,ファミリーマート - 品川グランパサージュ,PayPay Balance,-,-,04948071138738225152
2026/04/03 09:41:34,-,6,-,-,-,-,"Points, Balance Earned",ファミリーマート,PayPay Point,-,-,04948071138738225152
2026/04/01 12:08:55,240,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04946662741652037632
2026/04/01 12:08:55,-,2,-,-,-,-,"Points, Balance Earned",デイリーヤマザキ,PayPay Point,-,-,04946662741652037632
2026/04/01 12:07:29,456,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04946662002917007360
2026/04/01 12:07:29,-,4,-,-,-,-,"Points, Balance Earned",デイリーヤマザキ,PayPay Point,-,-,04946662002917007360
2026/04/01 10:11:15,253,-,-,-,-,-,Payment,ファミリーマート - 品川グランパサージュ,PayPay Balance,-,-,04946602088123891718
2026/04/01 10:11:14,-,2,-,-,-,-,"Points, Balance Earned",ファミリーマート,PayPay Point,-,-,04946602088123891718
